iter,weights,bounds,results,regret
1,"{'makespan': 1, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}",,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
1,"{'makespan': 1, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': 5e-06, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
2,"{'makespan': 1, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
3,"{'makespan': 1, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': 5e-06, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
4,"{'makespan': 1, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.984505, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
4,"{'makespan': 1.5, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.984505, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6522222222222223, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.49777777777777776}",0.3332220439099505
5,"{'makespan': 1.5, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6522222222222223, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.49777777777777776}",0.3332220439099505
5,"{'makespan': 2.25, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
5,"{'makespan': 3.375, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}",0.3332220306136462
5,"{'makespan': 3.375, 'workstations': 2.25, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
5,"{'makespan': 5.0625, 'workstations': 2.25, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}",0.3332220306136462
5,"{'makespan': 5.0625, 'workstations': 3.375, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
5,"{'makespan': 7.59375, 'workstations': 3.375, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.8444444444444444, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 1.0}",0.0003331792165381314
5,"{'makespan': 11.390625, 'workstations': 3.375, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.6382827777777778, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}",0.3332220306136462
6,"{'makespan': 1.5, 'workstations': 1, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}",0.3332220306136462
6,"{'makespan': 1.5, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
7,"{'makespan': 1.5, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
8,"{'makespan': 1.5, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.984505, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
8,"{'makespan': 2.25, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.984505, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
8,"{'makespan': 3.375, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': 0.984505, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}",0.3332220306136462
9,"{'makespan': 3.375, 'workstations': 1.5, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}",0.3332220306136462
9,"{'makespan': 3.375, 'workstations': 2.25, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': 3.950005, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
10,"{'makespan': 3.375, 'workstations': 2.25, 'employees': 1, 'robots': 1, 'employee_time': 1}","{'makespan': None, 'workstations': None, 'employees': None, 'robots': None, 'employee_time': None}","{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}",1.4453732950524702e-08
