weights,status,objectives
"[1.0, 1000.0, 1000000000.0, 0.001, 1000000.0]",ExitStatus.OPTIMAL,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}"
"[1000.0, 0.001, 1000000000.0, 1.0, 1000000.0]",ExitStatus.OPTIMAL,"{'makespan': 0.5622222222222222, 'workstations': 12, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}"
"[1000000.0, 0.001, 1.0, 1000000000.0, 1000.0]",ExitStatus.OPTIMAL,"{'makespan': 0.3022222222222222, 'workstations': 9, 'employees': 3, 'robots': 0, 'employee_time': 0.43444444444444447}"
"[1.0, 1000.0, 1000000000.0, 0.001, 1000000.0]",ExitStatus.OPTIMAL,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}"
"[1.0, 1.0, 1.0, 1.0, 100.0]",ExitStatus.OPTIMAL,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}"
"[1.0, 1.0, 1.0, 34.228732, 65.771268]",ExitStatus.OPTIMAL,"{'makespan': 1.3655555555555556, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}"
"[1.0, 1.0, 1.0, 66.57281, 33.42719]",ExitStatus.OPTIMAL,"{'makespan': 1.3655555555555556, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.09111111111111111}"
"[1.0, 1.0, 1.0, 100.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[1.0, 1.0, 38.76564, 1.0, 61.23436]",ExitStatus.OPTIMAL,"{'makespan': 1.3677777777777778, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.057777777777777775}"
"[1.0, 1.0, 61.94052, 38.05948, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[1.0, 1.0, 100.0, 1.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[1.0, 25.101537, 23.126164, 51.772299, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[1.0, 40.664914, 1.0, 1.0, 59.335086]",ExitStatus.OPTIMAL,"{'makespan': 1.1522222222222223, 'workstations': 4, 'employees': 1, 'robots': 1, 'employee_time': 0.1288888888888889}"
"[1.0, 40.856576, 59.143424, 1.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[1.0, 63.841675, 1.0, 36.158325, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[1.0, 100.0, 1.0, 1.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}"
"[17.911133, 46.571021, 17.522982, 1.0, 17.994863]",ExitStatus.OPTIMAL,"{'makespan': 0.9755555555555555, 'workstations': 3, 'employees': 1, 'robots': 1, 'employee_time': 0.9533333333333334}"
"[23.336567, 1.0, 54.515705, 1.0, 22.147728]",ExitStatus.OPTIMAL,"{'makespan': 0.46444444444444444, 'workstations': 6, 'employees': 1, 'robots': 0, 'employee_time': 0.16555555555555557}"
"[38.083746, 1.0, 1.0, 1.0, 61.916254]",ExitStatus.OPTIMAL,"{'makespan': 0.4666666666666667, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.1111111111111111}"
"[38.621632, 1.0, 1.0, 61.378368, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 0.3277777777777778, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.5777777777777777}"
"[54.476421, 1.0, 1.0, 22.531301, 22.992278]",ExitStatus.OPTIMAL,"{'makespan': 0.41, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.22444444444444445}"
"[59.470827, 40.529173, 1.0, 1.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 0.8388888888888889, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 1.0888888888888888}"
"[62.376987, 1.0, 37.623013, 1.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 0.3811111111111111, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.32555555555555554}"
"[100.0, 1.0, 1.0, 1.0, 1.0]",ExitStatus.OPTIMAL,"{'makespan': 0.31555555555555553, 'workstations': 7, 'employees': 2, 'robots': 0, 'employee_time': 0.5255555555555556}"
